ID,Species,Scientific.Name
353,Puerto Rican Emerald,Chlorostilbon maugaeus
354,Dusky Hummingbird,Cynanthus sordidus
355,Broad-billed Hummingbird,Cynanthus latirostris
356,Blue-headed Hummingbird,Cyanophaia bicolor
357,Violet-headed Hummingbird,Klais guimeti
358,Emerald-chinned Hummingbird,Abeillia abeillei
359,Antillean Crested Hummingbird,Orthorhyncus cristatus
360,Scaly-breasted Hummingbird,Phaeochroa cuvierii
361,Wedge-tailed Sabrewing,Campylopterus curvipennis
362,Long-tailed Sabrewing,Campylopterus excellens
363,Rufous Sabrewing,Campylopterus rufus
364,Violet Sabrewing,Campylopterus hemileucurus
365,Stripe-tailed Hummingbird,Eupherusa eximia
366,Blue-capped Hummingbird,Eupherusa cyanophrys
367,White-tailed Hummingbird,Eupherusa poliocerca
368,Black-bellied Hummingbird,Eupherusa nigriventris
369,White-tailed Emerald,Elvira chionura
370,Coppery-headed Emerald,Elvira cupreiceps
371,Snowcap,Microchera albocoronata
372,White-vented Plumeleteer,Chalybura buffonii
373,Bronze-tailed Plumeleteer,Chalybura urochrysia
374,Mexican Woodnymph,Thalurania ridgwayi
375,Crowned Woodnymph,Thalurania colombica
376,White-bellied Emerald,Amazilia candida
377,Honduran Emerald,Amazilia luciae
378,Blue-chested Hummingbird,Amazilia amabilis
379,Charming Hummingbird,Amazilia decora
380,Mangrove Hummingbird,Amazilia boucardi
381,Azure-crowned Hummingbird,Amazilia cyanocephala
382,Berylline Hummingbird,Amazilia beryllina
383,Blue-tailed Hummingbird,Amazilia cyanura
384,Steely-vented Hummingbird,Amazilia saucerottei
385,Snowy-bellied Hummingbird,Amazilia edward
386,Rufous-tailed Hummingbird,Amazilia tzacatl
387,Buff-bellied Hummingbird,Amazilia yucatanensis
388,Cinnamon Hummingbird,Amazilia rutila
389,Violet-crowned Hummingbird,Amazilia violiceps
390,Green-fronted Hummingbird,Amazilia viridifrons
391,Streamertail,Trochilus polytmus
392,Pirre Hummingbird,Goethalsia bella
393,Violet-capped Hummingbird,Goldmania violiceps
394,Sapphire-throated Hummingbird,Lepidopyga coeruleogularis
395,Violet-bellied Hummingbird,Juliamyia julie
396,Humboldt's Sapphire,Hylocharis humboldtii
397,Blue-throated Goldentail,Hylocharis eliciae
398,White-eared Hummingbird,Hylocharis leucotis
399,Xantus's Hummingbird,Hylocharis xantusii
400,Yellow Rail,Coturnicops noveboracensis
401,Ocellated Crake,Micropygia schomburgkii
402,Ruddy Crake,Laterallus ruber
403,White-throated Crake,Laterallus albigularis
404,Gray-breasted Crake,Laterallus exilis
405,Black Rail,Laterallus jamaicensis
406,Corn Crake,Crex crex
407,Ridgway's Rail,Rallus obsoletus
408,Clapper Rail,Rallus crepitans
409,Aztec Rail,Rallus tenuirostris
410,Mangrove Rail,Rallus longirostris
411,King Rail,Rallus elegans
412,Virginia Rail,Rallus limicola
413,Western Water-Rail,Rallus aquaticus
414,Rufous-necked Wood-Rail,Aramides axillaris
415,Russet-naped Wood-Rail,Aramides albiventris
416,Gray-cowled Wood-Rail,Aramides cajaneus
417,Uniform Crake,Amaurolimnas concolor
418,Sora,Porzana carolina
